Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4n7,
"C10, C11, C13, C14, C15, C19, C23, C24, C25, C26, C27, C30, C33",0402,13,100n,
"C12, C8",0402,2,1p,
C16,0402,1,10n,
"C17, C31, C35",0402,3,12p,
"C18, C22, C28, C32",0402,4,4u7,
C2,0402,1,10p,
"C20, C29, C9",0402,3,10u,
"C21, C5",0402,2,1n,
C3,0402,1,470p,
C34,0402,1,4p7,
C4,0402,1,220n,
C6,0402,1,1n5,
C7,0402,1,1p8,
D1,SOT-363_SC-70-6,1,BAV99S,
D2,D_SOD-323,1,CPDV3V3A-HF,
D3,0402,1,GREEN,
D4,0402,1,RED,
D5,0402,1,BLUE,
"FB1, FB2, FB3, FB4",0402,4,FERRIT,
FL1,USB_Filter_0805,1,ACM2012-202-2P-T002,
J1,12402012E212A,1,12402012E212A,
J2,SMA_Molex_73251-2120_EdgeMount_Horizontal,1,SMA,
J3,36103205S,1,36903205S,
L1,0402,1,820nH,
L2,0402,1,3.3uH,
"L3, L4",0402,2,270nH,
L5,0402,1,220nH,
"R1, R12, R13, R14, R18, R2, R7",0402,7,5K1,
"R10, R11, R16, R17, R19, R20, R6, R8, R9",0402,9,100R,
R15,0402,1,560R,
"R21, R22, R23",0402,3,2K,
"R24, R25",0402,2,1k,
"R3, R4, R5",0402,3,1M,
TP1,TestPoint_Pad_D1.0mm,1,R,
TP2,TestPoint_Pad_D1.0mm,1,L,
"TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,7,~,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,TEF6687HN/V205 (F8705),
U2,SOT-666,1,USBLC6-2P6,
U3,VQFN-48-1EP_7x7mm_P0.5mm_EP4.1x4.1mm_ThermalVias,1,STM32F072CBU6,
U4,SOT-23-5,1,TPS7A2033PDBVR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,55.46667 MHz,
Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8 MHz,
